,serie,m,theoretical_l,theo_l_error,exp_l,exp_l_error
0,1.nS,3,818.9000000000001,2.1,818.9,2.1000000000000227
1,1.nS,4,569.9348548615036,1.017203831567696,567.8,1.8000000000000682
2,1.nS,5,499.6274680654856,0.7817180962855609,497.4,1.8000000000000114
3,1.nS,6,468.2497774824521,0.6866140907982133,466.3,1.3000000000000114
4,1.nS,7,451.1651766483254,0.6374244159206104,,
5,1.nS,8,440.72834512370065,0.6082743705576992,,
6,1.nS,9,433.8475445764273,0.5894294625286165,,
7,1.nS,10,429.05609725156734,0.5764819430673854,,
8,1.nS,11,425.57853723351235,0.5671748796017415,426.7,1.1000000000000227
9,1.nS,12,422.9710794906674,0.5602461745696066,,
