f [Hz],∆f [Hz],U [V],∆U [V],I [A],∆I [A],V [V],∆V [V]
20.3,0.1,1.71,0.01,0.376,0.001,3.6,0.1
39.5,0.5,2.34,0.01,0.240,0.001,3.84,0.04
60,1,2.50,0.02,0.162,0.001,3.88,0.04
80,1,2.54,0.02,0.123,0.001,3.88,0.04
100,1,2.58,0.02,0.097,0.001,3.88,0.04
120,1,2.60,0.02,0.079,0.001,3.88,0.04
141,3,2.62,0.02,0.065,0.001,3.88,0.04
160,3,2.62,0.02,0.056,0.001,3.88,0.04
180,3,2.64,0.02,0.047,0.001,3.88,0.04
200,3,2.64,0.02,0.043,0.001,3.88,0.04
403,3,2.58,0.02,0.02678,0.00001,3.88,0.04
600,3,2.62,0.02,0.01825,0.00001,3.88,0.04
801,3,2.64,0.02,0.01369,0.00001,3.88,0.04
1000,10,2.64,0.02,0.01095,0.00001,3.88,0.04
1200,10,2.66,0.02,0.00921,0.00001,3.92,0.04
1400,10,2.70,0.02,0.00794,0.00001,3.92,0.04
1600,10,2.72,0.02,0.00677,0.00001,3.92,0.04
1800,10,2.74,0.02,0.00614,0.00001,3.92,0.04
2000,10,2.78,0.02,0.00555,0.00001,3.92,0.04
